Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 1490845584382687232,217.3919946,39.7903982,8.918,1.030,0.000,0.0000,0.0000,-13.08,-13.08,0.15,23.805,K1.4,nan,nan,0.976,nan,Gaia DR3
Gaia DR3 1484502295643717888,215.2861808,37.4009180,8.654,1.033,2.097,2.9012,3.7225,-12.32,-15.85,0.14,25.708,K1.5,nan,nan,0.961,nan,Gaia DR3
Gaia DR3 1491264356582462080,218.1186825,40.4996932,19.237,3.785,3.743,0.9009,3.8332,-13.32,nan,nan,21.844,M5.8,nan,nan,1.114,nan,None
Gaia DR3 1493071270795543552,218.9867209,42.9793010,15.568,3.429,3.730,3.4058,5.0855,-13.61,nan,nan,26.665,M5.1,nan,nan,1.109,nan,None
Gaia DR3 1489976179921954432,219.7152379,42.2288678,11.776,2.094,1.467,3.0030,5.1358,-13.82,nan,nan,26.803,M1.0,nan,nan,1.669,nan,None
Gaia DR3 1506059939093118080,213.4438538,46.3063908,12.075,2.354,3.526,7.1238,5.7566,-12.01,-15.47,2.90,25.488,M2.5,nan,nan,1.427,nan,Gaia DR3
Gaia DR3 1506060076532072192,213.4629530,46.3252075,7.053,0.682,3.467,7.1352,5.7876,-12.02,-14.57,0.13,25.524,F7.5,nan,nan,1.049,nan,Gaia DR3
Gaia DR3 1500434116051163904,207.3734901,41.6270203,16.600,4.484,0.185,7.8083,6.1217,-9.95,nan,nan,25.378,M6.7,nan,nan,1.269,nan,None
Gaia DR3 1488431297366254464,219.3721370,41.4763392,12.594,2.406,3.129,2.2583,6.2407,-13.72,-16.84,1.71,20.837,M2.7,nan,nan,3.809,nan,Gaia DR3
Gaia DR3 1292097003552606464,227.6861898,36.8069670,12.689,2.569,4.455,8.6057,6.6500,-16.23,-17.71,0.56,25.404,M3.2,nan,nan,1.415,nan,Gaia DR3
Gaia DR3 1483119487973123328,208.7500511,35.4077411,13.602,2.946,4.597,8.1236,6.7900,-9.97,-20.95,29.81,22.280,M4.0,nan,nan,1.965,nan,Gaia DR3
Gaia DR3 1501788881878538496,203.8538825,43.7705186,14.781,2.974,1.469,10.8355,7.9100,-8.98,-4.59,9.98,23.974,M4.1,nan,nan,0.916,nan,Gaia DR3
Gaia DR3 1501788130259330688,203.8581833,43.7657168,10.490,1.567,1.895,10.8312,7.9391,-8.98,-10.66,0.19,23.750,K5.4,nan,nan,1.016,nan,Gaia DR3
Gaia DR3 1454350761936211200,211.5173586,31.5209911,19.343,3.592,4.631,9.5426,7.9867,-10.65,nan,nan,26.655,M5.5,nan,nan,1.089,nan,None
Gaia DR3 1501788886175060608,203.8536299,43.7704008,14.827,2.979,2.494,10.8357,8.0153,-8.98,-19.37,4.99,23.458,M4.1,nan,nan,1.177,nan,Gaia DR3
Gaia DR3 1604497497141168768,215.8720998,50.4665271,14.724,3.059,4.922,10.7292,8.3750,-12.70,-21.84,3.13,22.589,M4.3,nan,nan,1.266,nan,Gaia DR3
Gaia DR3 1549259098113618688,202.2628853,42.2381820,7.507,0.741,1.700,11.6583,8.5315,-8.34,-9.54,0.12,24.822,F9.3,nan,nan,0.922,nan,Gaia DR3
Gaia DR3 1475571267632425600,203.7136445,37.7719096,12.663,2.816,3.291,10.8409,8.9412,-8.42,-5.90,1.24,26.974,M3.7,nan,nan,8.985,nan,Gaia DR3
Gaia DR3 1476485996883837184,201.2826037,38.9223634,9.684,1.260,0.378,12.4694,9.2054,-7.70,-7.14,0.15,23.480,K3.5,nan,nan,0.962,nan,Gaia DR3
Gaia DR3 1389261735157949440,230.9782444,40.8685182,20.768,1.963,2.286,10.4026,9.6812,-17.08,nan,nan,21.127,M0.5,nan,nan,1.231,nan,None
Gaia DR3 1291109504671837824,229.6859091,35.9487659,11.071,1.689,1.281,10.4263,9.7936,-16.84,-16.86,0.23,21.058,K5.9,nan,nan,1.061,nan,Gaia DR3
Gaia DR3 1552488776081383040,204.0066956,48.4793229,14.066,-0.137,4.178,12.9191,10.2412,-9.36,nan,nan,27.129,B5.9,nan,nan,1.048,nan,None
Gaia DR3 1499506540553955072,209.1860045,43.2943895,14.181,2.647,4.334,7.0663,10.3347,-10.62,-21.32,1.74,19.748,M3.4,nan,nan,1.212,nan,Gaia DR3
Gaia DR3 1258492079916321152,210.4188805,25.7482798,13.575,2.813,3.371,15.2040,11.1460,-9.72,-2.68,1.60,25.743,M3.7,nan,nan,1.148,nan,Gaia DR3
Gaia DR3 1397457048152981632,235.9273964,44.8478104,12.372,2.278,1.538,14.5684,11.3428,-18.11,-17.41,3.15,22.331,M2.2,nan,nan,1.220,nan,Gaia DR3
Gaia DR3 1272051188593078912,230.3297955,28.8414467,14.211,2.933,2.180,15.2669,11.4064,-16.99,-10.98,1.64,23.089,M4.0,nan,nan,1.111,nan,Gaia DR3
Gaia DR3 1278340773059748608,228.9881982,33.1015022,13.184,2.725,2.778,11.4626,11.7644,-16.63,-19.97,2.38,20.219,M3.5,nan,nan,5.242,nan,Gaia DR3
Gaia DR3 1278423305151962368,228.8530465,33.7878405,12.809,2.319,3.025,10.9530,11.7756,-16.59,-11.73,1.38,20.040,M2.4,nan,nan,3.278,nan,Gaia DR3
Gaia DR3 1473478385905454976,201.4790302,35.7783245,12.223,2.336,3.043,13.1794,11.7787,-7.43,-2.04,0.41,29.373,M2.5,nan,nan,1.810,nan,Gaia DR3
Gaia DR3 1398218223733415552,236.7235172,46.9862888,7.024,0.900,4.540,15.7257,11.8774,-18.10,-22.02,0.14,26.989,G8.0,nan,nan,0.935,nan,Gaia DR3
Gaia DR3 1254447492033650816,217.3761537,23.2459641,16.071,3.526,2.118,16.5444,11.9667,-12.14,nan,nan,24.628,M5.3,nan,nan,1.030,nan,None
Gaia DR3 1499696549907455360,210.0446041,44.8111988,9.730,1.627,3.638,7.3930,12.0235,-10.96,2.73,0.15,32.343,K5.6,nan,nan,1.062,nan,Gaia DR3
Gaia DR3 1387401640655986688,230.1725527,36.7693580,14.111,2.749,1.070,10.4668,12.1021,-16.97,-18.62,1.88,19.723,M3.6,nan,nan,1.205,nan,Gaia DR3
Gaia DR3 1396617472242087168,236.5959716,44.0541805,11.226,1.767,0.759,14.8718,12.2965,-18.33,-18.69,0.29,21.499,K7.4,nan,nan,1.140,nan,Gaia DR3
Gaia DR3 1523645047031954944,194.6324627,38.2785707,8.484,0.932,0.769,17.6955,12.7981,-5.33,-5.00,0.14,24.457,G8.6,nan,nan,1.062,nan,Gaia DR3
Gaia DR3 1271649969930799872,229.1040597,28.0557486,16.477,0.397,2.916,15.2075,12.8111,-16.57,nan,nan,21.244,F0.1,nan,nan,0.996,nan,None
Gaia DR3 1523644978312478976,194.6451020,38.2799378,9.029,1.184,0.577,17.6855,12.8460,-5.34,-3.34,6.85,24.101,K2.7,nan,nan,2.028,nan,Gaia DR3
Gaia DR3 1383172330523940096,240.5723219,40.4968188,12.553,2.358,0.367,17.6829,12.9700,-19.57,-18.28,1.62,23.614,M2.5,nan,nan,1.221,nan,Gaia DR3
Gaia DR3 1254789096552470400,216.7443012,24.1491415,11.227,2.067,4.845,15.6508,12.9790,-11.98,-14.78,0.25,29.305,M0.9,nan,nan,1.362,nan,Gaia DR3
Gaia DR3 1373473435375960448,239.2421548,37.6373032,12.152,2.459,4.481,17.1413,13.0751,-19.42,-25.29,3.66,22.550,M2.9,nan,nan,17.451,nan,Gaia DR3
Gaia DR3 1522768049067813504,196.5711248,38.3415191,19.522,3.220,4.453,16.1938,13.1356,-6.01,nan,nan,29.070,M4.7,nan,nan,1.104,nan,None
Gaia DR3 1528698883509296128,192.6636273,42.9365837,16.048,3.550,4.327,18.7539,13.5065,-5.31,nan,nan,25.237,M5.4,nan,nan,1.064,nan,None
Gaia DR3 1509460728558078848,211.9846969,48.2107142,6.710,0.505,4.178,9.2694,13.5738,-11.63,-25.30,0.32,18.788,F2.5,nan,nan,0.986,nan,Gaia DR3
