GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRA,PMDec,PMRApred,PMDecpred
110.2473552,-21.114638,12.248,1.055,0.0,0.0,0.0,90.06,90.06,0.45,4.504,K1.7,,,1.021,,Gaia,DR3,15.564,2.636,15.564,2.636
108.1299599,-20.1891583,17.491,2.648,4.225,2.1868,9.8292,89.47,,,4.409,M3.4,,,1.022,,,18.144,1.014,14.641,-0.762,
111.2978146,-21.4818134,18.724,2.738,3.625,1.0453,11.4705,90.3,,,4.734,M3.6,,,1.04,,,14.799,3.451,14.189,7.016,
110.4041016,-17.813597,18.116,2.944,3.186,3.3043,13.9097,90.11,,,4.626,M4.0,,,1.028,,,15.756,-2.345,12.679,-1.915,
110.4516781,-17.7441177,13.526,,2.999,3.376,13.9171,90.12,34.82,3.12,4.612,,,,0.886,,Gaia,DR3,15.639,-2.44,12.933,-1.355
110.451598,-17.7445279,13.333,1.41,3.052,3.3756,14.3053,90.12,34.48,1.98,4.634,K4.7,,,1.031,,Gaia,DR3,15.715,-2.451,12.736,-2.572
108.6879547,-25.3942769,14.939,1.979,4.677,4.5129,17.4714,89.17,,,4.512,M0.6,,,2.395,,,17.785,8.834,14.417,5.929,
109.7918452,-25.807836,18.043,3.012,4.398,4.7117,18.252,89.41,,,4.504,M4.1,,,1.001,,,16.205,9.573,12.736,11.898,
106.2379379,-19.9532964,18.969,3.012,4.487,3.93,18.2965,88.82,,,4.732,M4.1,,,0.995,,,22.244,0.485,17.782,0.84,
112.4754391,-16.6536548,16.698,2.233,3.238,4.9337,19.1158,90.55,,,4.54,M1.9,,,6.418,,,12.511,-3.903,9.608,-2.817,
113.5274328,-25.2193621,17.16,2.684,4.487,5.0927,19.7387,90.35,,,4.499,M3.5,,,1.029,,,10.905,9.067,8.026,12.202,
112.5119219,-19.5474489,16.513,2.436,2.932,2.6391,19.7558,90.65,,,4.19,M2.8,,,1.028,,,11.497,0.446,9.293,1.804,
112.9310721,-16.5860168,19.912,0.386,4.317,5.1917,20.5512,90.64,,,4.436,F0.0,,,0.968,,,11.586,-3.887,9.466,-7.322,
115.2651177,-18.9827166,18.12,2.88,4.148,5.1729,20.676,91.15,,,4.631,M3.9,,,1.001,,,8.677,-0.213,6.829,3.391,
109.5264102,-15.8845373,16.785,2.663,3.16,5.2746,21.1586,89.73,,,4.641,M3.4,,,1.315,,,17.081,-5.39,16.877,-8.474,
110.6316872,-17.282493,18.757,2.976,4.128,3.8493,21.1875,90.14,,,4.227,M4.1,,,1.07,,,14.098,-2.871,12.156,0.254,
115.7500805,-20.2375083,13.891,1.534,4.443,5.2222,21.4483,91.2,34.8,2.07,4.675,K5.3,,,1.027,,Gaia,DR3,8.04,1.778,12.374,1.151
111.8355591,-21.5560042,10.314,0.663,3.932,1.5438,21.736,90.43,-9.27,0.33,4.974,F6.7,,,1.781,,Gaia,DR3,14.709,3.801,13.132,-0.009
106.9759143,-23.4757569,17.741,2.87,2.413,3.8386,22.0558,88.88,,,4.873,M3.8,,,1.036,,,21.797,6.223,22.41,3.822,
113.1236254,-16.5067701,15.676,2.35,4.552,5.3516,22.5912,90.67,,,4.346,M2.5,,,1.691,,,11.088,-3.912,7.705,-6.352,
109.4514494,-15.4626273,18.127,2.922,4.993,5.7023,23.0645,89.67,,,4.393,M3.9,,,1.054,,,16.271,-5.719,13.971,-9.73,
116.5854226,-21.5975983,9.966,0.647,2.294,5.9222,23.0936,91.23,12.65,0.28,4.59,F6.2,,,0.903,,Gaia,DR3,6.676,3.88,7.711,5.842
116.58472,-21.5994463,9.277,0.596,3.375,5.9216,23.174,91.23,13.18,0.3,4.602,F5.2,,,1.067,,Gaia,DR3,6.695,3.893,7.29,7.113
113.549969,-16.4688624,16.532,2.351,4.966,5.5992,23.2577,90.76,,,4.359,M2.5,,,1.05,,,10.533,-3.956,11.091,0.573,
115.775062,-22.8718694,17.393,2.646,3.369,5.4178,23.6918,91.02,,,4.763,M3.4,,,0.999,,,8.153,6.022,10.735,3.838,
115.3774344,-17.2635653,17.319,2.652,4.555,6.188,24.4331,91.11,,,4.432,M3.4,,,3.182,,,8.146,-2.756,4.005,-3.736,
116.4473832,-21.400096,12.733,1.17,3.924,5.7849,24.6613,91.23,-29.58,1.07,4.75,K2.6,,,0.895,,Gaia,DR3,7.118,3.694,5.805,7.398
116.0985876,-22.145396,17.58,2.761,1.77,5.5356,24.9141,91.13,,,4.802,M3.6,,,1.14,,,7.727,4.919,7.053,3.259,
