Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4904523077718046720,0.7744875,-62.469316,13.667,0.935,0.0,0.0,0.0,19.81,19.81,2.37,1.944,,,,1.036,,Gaia_DR3,2.791,4.876,2.791,0.013,4.876,0.013
Gaia,DR3,4905704846558992896,2.4467164,-60.9284142,19.334,2.67,1.204,1.7328,18.2844,20.22,,,1.909,,,,1.047,,,2.508,4.64,2.024,0.258,4.66,0.245
Gaia,DR3,4901069271175924864,0.8566304,-64.5116163,20.237,1.916,4.564,2.0426,18.5833,19.38,,,1.934,,,,0.95,,,2.765,5.139,4.372,0.547,6.077,0.587
Gaia,DR3,4904461638209958016,1.4691666,-62.8276016,20.224,2.124,4.745,0.4798,22.9067,19.78,,,1.863,,,,1.115,,,2.58,4.749,3.406,0.531,3.079,0.579
Gaia,DR3,4900538688096700800,6.7163545,-64.1182108,19.608,2.744,2.785,3.1366,29.6915,19.72,,,1.983,,,,1.452,,,1.979,5.437,3.143,0.423,5.417,0.411
Gaia,DR3,6488607789299376896,355.2858936,-61.2067086,19.788,2.227,1.611,2.8805,30.6237,19.71,,,1.886,,,,1.015,,,3.445,4.298,4.079,0.329,4.388,0.389
Gaia,DR3,6486161689461111424,355.508532,-62.9355296,19.36,2.528,2.353,2.4589,36.1902,19.39,,,1.843,,,,1.053,,,3.338,4.44,3.231,0.277,5.348,0.421
Gaia,DR3,4900312841536440448,2.1344404,-64.6947346,17.847,2.211,0.587,2.3061,39.1036,19.4,,,1.828,,,,0.962,,,2.443,4.932,2.63,0.081,4.804,0.088
Gaia,DR3,6494571952685688832,356.1954235,-58.7287918,20.121,2.376,4.122,4.3616,39.1576,20.23,,,1.956,,,,1.049,,,3.448,4.149,4.925,0.515,3.307,0.493
Gaia,DR3,6487911596575420800,356.9038454,-61.2653274,20.165,2.355,1.596,2.1859,39.8193,19.82,,,1.822,,,,1.029,,,3.122,4.24,2.869,0.403,3.682,0.528
