Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2881784280929695360,0.3620977,39.3837942,10.593,0.694,0.0,0.0,0.0,-14.21,-14.21,0.77,3.684,,,,0.908,,Gaia_DR3,-9.696,-7.823,-9.696,0.01,-7.823,0.01
Gaia,DR3,382993538138799872,4.1766455,40.2199095,18.896,-0.154,0.566,3.0472,23.984,-14.98,,,3.969,,,,0.993,,,-10.17,-7.812,-10.642,0.208,-7.832,0.136
Gaia,DR3,2880104532104405504,0.4930606,36.5609731,19.548,2.732,1.096,2.8247,24.401,-13.72,,,3.43,,,,0.986,,,-9.021,-7.769,-8.234,0.327,-7.857,0.251
Gaia,DR3,1923752582439069440,353.9718746,41.4131286,19.788,2.631,1.56,5.271,25.0034,-13.49,,,3.724,,,,1.09,,,-10.143,-8.245,-9.308,0.301,-7.349,0.304
Gaia,DR3,378489285676285568,6.9358555,37.0895352,19.201,3.045,1.089,5.6483,27.2311,-14.91,,,3.631,,,,1.054,,,-9.092,-7.495,-9.733,0.269,-8.027,0.244
Gaia,DR3,1926346467810062464,358.6529535,45.5620538,19.933,2.445,0.186,6.3051,30.8013,-14.95,,,3.603,,,,0.961,,,-9.583,-6.648,-9.724,0.369,-6.637,0.321
Gaia,DR3,2877839370647745792,357.6610791,33.3799902,17.471,2.486,0.254,6.3846,32.7182,-12.58,,,3.541,,,,0.988,,,-9.472,-8.833,-9.404,0.095,-8.655,0.066
Gaia,DR3,2881408690333191552,358.759296,38.6645533,19.17,2.941,1.339,1.4379,32.8109,-13.81,,,3.295,,,,1.086,,,-8.76,-7.274,-8.003,0.358,-6.732,0.248
Gaia,DR3,1925068422980171648,352.3100932,43.5396453,19.77,2.712,1.352,7.3214,35.7774,-13.6,,,3.592,,,,1.007,,,-9.85,-7.765,-9.173,0.278,-8.533,0.289
Gaia,DR3,386376327395805824,2.6982244,45.10324,18.943,,1.481,5.9745,35.7919,-15.5,,,3.425,,,,1.758,,,-8.873,-5.956,-8.034,0.319,-5.294,0.3
Gaia,DR3,381554449216960768,9.6071437,42.2529662,19.628,2.894,0.65,7.5568,38.4013,-16.13,,,3.53,,,,1.058,,,-8.623,-5.984,-8.526,0.407,-5.511,0.353
Gaia,DR3,2879746473566879360,358.1879622,37.4948226,19.112,2.657,1.178,2.5431,38.6035,-13.49,,,3.248,,,,1.047,,,-8.663,-7.414,-7.858,0.32,-7.361,0.235
Gaia,DR3,1926273423299986176,358.3774449,45.7267942,19.929,,0.99,6.5087,39.561,-14.93,,,4.084,,,,1.166,,,-10.881,-7.536,-10.97,0.472,-8.384,0.403
