Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,382111248777193216,7.0539376,42.0613441,12.512,0.912,0.0,0.0,0.0,-9.33,-9.33,0.97,2.686,,,,0.941,,Gaia_DR3,0.866,-6.773,0.866,0.01,-6.773,0.01
Gaia,DR3,387588225432997120,10.2999602,44.0344225,19.916,2.732,2.447,3.085,20.9916,-9.68,,,2.646,,,,1.097,,,0.818,-6.52,1.59,0.418,-7.645,0.453
Gaia,DR3,387771740796281216,10.0038131,43.9690946,19.448,2.279,1.309,2.8792,21.3035,-9.67,,,2.766,,,,1.032,,,0.858,-6.819,0.336,0.317,-6.263,0.297
Gaia,DR3,385128102525998208,5.0480824,42.9963377,19.801,2.299,1.115,1.749,22.2412,-9.57,,,2.833,,,,0.981,,,0.935,-7.029,0.587,0.331,-6.462,0.228
Gaia,DR3,380889072883531648,7.9602387,40.1139407,19.315,2.802,1.067,2.0637,22.4556,-8.9,,,2.825,,,,0.986,,,0.901,-7.317,0.3,0.259,-7.524,0.266
Gaia,DR3,388946229669591424,6.461845,45.6577025,12.965,0.812,1.242,3.6216,23.5616,-10.08,-62.58,10.45,2.681,,,,23.906,,Gaia_DR3,0.871,-6.409,1.125,0.356,-7.063,0.286
Gaia,DR3,388836037989266688,6.5231917,45.3453408,19.775,,2.606,3.3063,24.9022,-10.01,,,2.785,,,,0.988,,,0.904,-6.691,-0.62,0.583,-6.552,0.436
Gaia,DR3,387947800095847296,10.7558818,43.9920459,19.821,2.428,2.482,3.3238,25.1578,-9.66,,,2.6,,,,1.083,,,0.799,-6.417,-0.321,0.471,-5.644,0.356
Gaia,DR3,379305505556892288,6.8346325,38.9343413,19.683,2.819,2.124,3.1314,26.3399,-8.67,,,2.817,,,,1.08,,,0.911,-7.393,0.128,0.401,-6.404,0.372
Gaia,DR3,375363133600070656,12.5534618,42.3084904,19.889,2.386,1.659,4.0818,26.7138,-9.28,,,2.669,,,,1.023,,,0.798,-6.76,0.111,0.356,-6.128,0.375
Gaia,DR3,389875209618488704,10.0520271,46.4111742,18.636,2.733,1.201,4.8504,35.5864,-10.16,,,2.58,,,,1.034,,,0.8,-6.133,0.402,0.2,-6.651,0.187
Gaia,DR3,367893227694604672,11.8939515,38.1283915,19.891,2.309,2.21,5.3997,35.8278,-8.39,,,2.645,,,,0.946,,,0.799,-7.053,-0.395,0.502,-7.358,0.321
Gaia,DR3,387723985053454976,9.1195366,43.9213865,19.897,2.402,1.5,2.3962,36.7424,-9.68,,,2.468,,,,1.0,,,0.775,-6.081,1.463,0.399,-5.712,0.359
Gaia,DR3,385396903055227136,3.7272897,43.3772683,16.795,1.958,1.784,2.7755,36.7606,-9.67,,,2.943,,,,6.496,,,0.986,-7.247,2.029,0.35,-6.878,0.26
