Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,430269136520563200,8.3862553,61.8607664,12.26,1.161,0.0,0.0,0.0,-24.87,-24.87,1.23,1.672,,,,0.854,,Gaia_DR3,-0.471,3.857,-0.471,0.009,3.857,0.009
Gaia,DR3,430755395540408448,7.6917827,62.8203861,19.78,2.506,1.43,1.0123,15.9737,-24.67,,,1.639,,,,1.103,,,-0.551,3.919,-1.043,0.373,3.972,0.411
Gaia,DR3,427594505767266560,10.8101988,61.8732789,18.31,2.63,1.329,1.1429,18.7985,-24.88,,,1.633,,,,0.974,,,-0.148,3.779,-0.388,0.125,4.168,0.158
Gaia,DR3,431009726323077120,5.9605698,63.1458069,18.592,2.707,0.897,1.7043,19.0256,-24.58,,,1.654,,,,1.224,,,-0.781,3.985,-0.475,0.183,4.051,0.235
Gaia,DR3,430620675302384000,5.0300852,62.9865022,20.12,2.631,0.294,1.9183,21.1415,-24.59,,,1.692,,,,1.037,,,-0.922,4.04,-0.863,0.395,4.126,0.463
Gaia,DR3,428714809337826176,5.8841633,60.2021857,17.115,1.699,3.23,2.0538,24.3187,-25.13,,,1.642,,,,7.742,,,-0.785,3.512,0.049,0.299,2.768,0.3
Gaia,DR3,527000153737292160,8.3534924,64.1720171,19.366,2.954,1.709,2.3113,24.7988,-24.4,,,1.657,,,,1.066,,,-0.471,4.17,-0.465,0.292,3.573,0.268
Gaia,DR3,430868232920943104,8.564092,63.1337601,18.404,1.868,2.722,1.2756,24.9801,-24.62,,,1.734,,,,2.491,,,-0.464,4.201,-0.921,0.329,3.318,0.357
Gaia,DR3,425519181864227200,10.0032989,59.9843612,19.628,2.914,3.523,2.0342,25.6487,-25.23,,,1.634,,,,0.973,,,-0.252,3.494,-1.028,0.304,4.427,0.366
Gaia,DR3,526971910036818688,9.9720006,64.242025,20.126,2.808,3.445,2.4871,26.1337,-24.4,,,1.665,,,,1.129,,,-0.261,4.209,-1.128,0.467,5.052,0.595
Gaia,DR3,430145475823436672,8.7926581,61.2592398,18.992,1.772,3.307,0.6319,27.0701,-24.98,,,1.602,,,,1.921,,,-0.4,3.609,0.507,0.389,2.957,0.476
Gaia,DR3,428697281567577472,6.4522757,60.0308543,19.755,2.334,0.219,2.0567,27.1991,-25.17,,,1.628,,,,1.008,,,-0.706,3.463,-0.72,0.365,3.536,0.354
