Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2862548428079638912,5.1669528,31.9899727,11.532,0.752,0.0,0.0,0.0,-13.9,-13.9,0.59,2.611,,,,1.073,,Gaia_DR3,-4.692,-3.32,-4.692,0.022,-3.32,0.02
Gaia,DR3,2863733662959453056,5.6696966,33.0462928,19.765,1.76,2.879,1.1382,15.7433,-14.07,,,2.709,,,,1.224,,,-4.825,-3.275,-3.408,0.511,-4.108,0.441
Gaia,DR3,2875984357093470976,2.9537774,34.5600832,19.104,2.905,1.761,3.1667,22.0806,-13.88,,,2.572,,,,1.25,,,-4.8,-3.033,-5.753,0.341,-3.078,0.203
Gaia,DR3,361875458827906816,10.2451056,33.3703529,19.845,2.342,1.889,4.491,30.6099,-14.64,,,2.578,,,,1.033,,,-4.2,-2.879,-3.312,0.385,-3.393,0.316
Gaia,DR3,2857964697246873856,8.4120831,28.921996,18.556,2.708,0.951,4.1513,30.663,-13.97,,,2.531,,,,0.941,,,-4.281,-3.49,-4.659,0.208,-3.829,0.151
Gaia,DR3,2860239659820783232,2.7383512,29.1344606,9.88,1.068,1.444,3.5391,31.4003,-13.26,-6.4,0.27,2.765,,,,14.483,,Gaia_DR3,-5.178,-4.021,-5.799,0.281,-4.589,0.227
Gaia,DR3,2877264905886515200,2.7862023,36.1438572,18.264,2.58,0.784,4.5978,32.096,-14.01,,,2.557,,,,1.016,,,-4.783,-2.815,-4.369,0.157,-2.899,0.114
Gaia,DR3,2875443427438581760,0.3903612,34.6543849,19.13,,1.284,4.7979,32.3906,-13.56,,,2.588,,,,1.683,,,-5.025,-3.164,-5.676,0.429,-2.906,0.341
Gaia,DR3,2875381305028832896,359.4675487,34.434247,19.377,2.748,1.187,5.3571,35.7798,-13.41,,,2.614,,,,1.024,,,-5.146,-3.271,-4.693,0.312,-3.744,0.211
Gaia,DR3,2861132669420348032,1.8831952,29.8778308,19.507,2.451,1.872,3.5203,38.6095,-13.23,,,2.844,,,,1.016,,,-5.397,-4.071,-6.223,0.458,-3.311,0.286
