Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,323386882492982144,21.8711012,38.9681133,13.51,0.793,0.0,0.0,0.0,-18.84,-18.84,3.27,1.449,,,,1.513,,Gaia_DR3,-0.051,-3.141,-0.051,0.022,-3.141,0.018
Gaia,DR3,322927256568961152,22.8271275,38.4841873,17.884,1.969,1.42,0.8891,11.2516,-18.75,,,1.456,,,,0.973,,,-0.01,-3.205,0.412,0.144,-3.094,0.123
Gaia,DR3,323401730195750272,21.5658106,39.0139044,18.258,1.158,2.824,0.2417,14.0224,-18.84,,,1.478,,,,2.016,,,-0.066,-3.2,0.645,0.253,-2.682,0.253
Gaia,DR3,322390763613604992,21.4194794,37.3586157,19.851,2.216,2.938,1.6482,20.3632,-18.54,,,1.459,,,,1.03,,,-0.071,-3.325,0.8,0.444,-3.564,0.387
Gaia,DR3,371593530999098880,20.2711403,39.4150357,19.96,2.37,1.781,1.3181,20.9426,-18.91,,,1.479,,,,1.025,,,-0.123,-3.161,-0.432,0.476,-2.699,0.413
Gaia,DR3,323304728358979072,21.8759378,38.5556734,19.418,2.78,1.343,0.4125,21.7685,-18.76,,,1.406,,,,1.047,,,-0.049,-3.087,-0.27,0.338,-2.756,0.306
Gaia,DR3,321654571859463552,20.7188349,37.442839,19.129,2.473,0.838,1.7737,21.9551,-18.55,,,1.439,,,,1.04,,,-0.101,-3.271,-0.083,0.294,-3.018,0.21
Gaia,DR3,324011473817334528,21.8636463,40.1403985,14.979,0.942,2.019,1.1723,22.4355,-19.04,,,1.487,,,,11.813,,,-0.053,-3.101,0.171,0.365,-2.51,0.251
Gaia,DR3,321916010812910976,20.1736514,37.9430072,18.929,2.398,2.011,1.6786,22.4991,-18.64,,,1.429,,,,1.019,,,-0.124,-3.2,-0.657,0.246,-2.914,0.203
Gaia,DR3,324133657046963200,22.5617782,40.6815881,19.1,2.623,2.706,1.7937,22.8853,-19.14,,,1.466,,,,0.991,,,-0.021,-3.001,0.655,0.321,-3.493,0.218
Gaia,DR3,323934168700566400,22.8652533,40.2950284,18.139,,1.831,1.5319,25.1756,-19.07,,,1.414,,,,1.153,,,-0.008,-2.935,-0.535,0.696,-3.077,0.234
Gaia,DR3,324096720328940416,21.8649137,40.5510807,19.789,1.703,2.425,1.583,26.0061,-19.11,,,1.413,,,,1.014,,,-0.05,-2.907,0.661,0.401,-3.032,0.409
Gaia,DR3,322621935934077824,24.4747342,38.0374315,19.556,2.374,1.955,2.2399,27.0454,-18.67,,,1.446,,,,1.003,,,0.062,-3.227,0.644,0.449,-3.098,0.306
Gaia,DR3,322942168694167936,22.7704554,38.6411306,19.839,1.937,2.447,0.7734,27.6004,-18.78,,,1.506,,,,1.008,,,-0.012,-3.298,0.427,0.473,-3.938,0.392
Gaia,DR3,322700374921437184,23.7179658,38.3421672,19.656,2.545,1.968,1.5722,28.4937,-18.72,,,1.406,,,,1.014,,,0.029,-3.109,0.589,0.421,-3.271,0.341
