Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5590921485126584832,110.1704096,-33.9223278,12.771,0.857,0.0,0.0,0.0,19.1,19.1,2.06,2.637,G5.4,,,0.917,,Gaia_DR3,-8.021,5.078,-8.021,0.01,5.078,0.013
Gaia,DR3,5590866784426915072,110.7585569,-33.8983506,19.538,3.036,0.603,0.4887,3.2873,18.98,,,2.633,M4.2,,,1.037,,,-8.128,5.02,-8.381,0.265,4.8,0.282
Gaia,DR3,5590914303941225728,110.6942532,-33.8493325,16.978,2.609,0.247,0.441,5.2747,19.0,,,2.668,M3.3,,,0.993,,,-8.223,5.082,-8.324,0.052,4.987,0.057
Gaia,DR3,5590709451182280064,109.9251859,-35.0630788,19.388,3.103,1.159,1.1585,7.7733,18.96,,,2.628,M4.4,,,0.994,,,-7.946,5.291,-7.377,0.231,5.589,0.227
Gaia,DR3,5592407475090407040,111.4958145,-33.3896071,10.022,0.227,0.194,1.2251,8.2909,18.9,12.16,1.67,2.649,A6.9,,,3.402,,Gaia_DR3,-8.328,4.899,-8.239,0.049,4.96,0.054
Gaia,DR3,5603232854261298304,109.560419,-32.7166358,18.705,3.33,0.161,1.309,8.8749,19.42,,,2.651,M4.9,,,1.011,,,-7.939,4.925,-7.891,0.137,4.849,0.177
Gaia,DR3,5592714277498549376,109.8646119,-32.970036,18.695,3.449,1.078,0.9859,8.933,19.31,,,2.68,M5.2,,,1.042,,,-8.09,5.005,-8.498,0.152,5.458,0.194
Gaia,DR3,5592483238314279936,111.0092851,-32.9206135,17.939,3.13,0.47,1.2221,9.3767,19.08,,,2.605,M4.4,,,1.175,,,-8.092,4.769,-7.894,0.108,4.934,0.129
Gaia,DR3,5592750733181682688,110.2081843,-32.5351855,17.069,2.675,0.229,1.3875,9.3979,19.31,,,2.651,M3.4,,,0.97,,,-8.074,4.843,-7.997,0.058,4.946,0.063
Gaia,DR3,5590965710406881280,109.0006294,-34.4555974,19.651,2.85,1.541,1.1048,9.5191,19.25,,,2.68,M3.8,,,1.022,,,-7.91,5.355,-8.733,0.312,5.071,0.406
Gaia,DR3,5592580068360820992,111.1764508,-32.7352699,17.923,3.213,0.56,1.4545,9.7503,19.07,,,2.648,M4.6,,,1.156,,,-8.261,4.801,-8.532,0.109,4.956,0.114
Gaia,DR3,5590982954701338112,109.4668279,-34.3084115,18.535,2.875,0.687,0.6988,9.946,19.18,,,2.699,M3.8,,,1.016,,,-8.065,5.329,-7.948,0.128,5.701,0.143
Gaia,DR3,5592510043212409600,111.5943037,-33.1175025,17.11,2.765,0.159,1.4342,9.9858,18.92,,,2.616,M3.6,,,1.025,,,-8.243,4.78,-8.324,0.056,4.745,0.06
Gaia,DR3,5590907809954509440,110.2713959,-34.0754555,18.729,3.219,0.357,0.1745,10.0469,19.05,,,2.569,M4.7,,,1.089,,,-7.836,4.968,-8.01,0.173,5.052,0.198
Gaia,DR3,5592785951913278976,110.8870032,-32.5374571,16.416,2.331,0.148,1.509,10.0849,19.16,,,2.647,M2.4,,,0.998,,,-8.199,4.785,-8.28,0.034,4.766,0.043
Gaia,DR3,5591533195850163456,111.6715992,-34.3605008,17.766,2.883,0.303,1.3174,10.263,18.71,,,2.6,M3.9,,,1.037,,,-8.209,4.969,-8.16,0.086,4.81,0.104
Gaia,DR3,5592788009198903168,110.9411975,-32.4656764,19.618,2.848,0.555,1.5931,10.8967,19.16,,,2.619,M3.8,,,1.094,,,-8.121,4.716,-8.218,0.26,5.006,0.33
Gaia,DR3,5591628269248524160,111.528661,-33.9178612,17.497,2.919,0.145,1.1271,11.1627,18.81,,,2.696,M3.9,,,1.045,,,-8.482,5.082,-8.4,0.106,5.078,0.111
Gaia,DR3,5592696376073633536,110.7678014,-32.4789346,17.584,2.769,0.198,1.5275,11.2004,19.2,,,2.671,M3.6,,,0.948,,,-8.25,4.827,-8.184,0.068,4.916,0.089
Gaia,DR3,5592710429207594496,110.178005,-32.8297929,17.007,2.906,0.215,1.0926,11.7075,19.27,,,2.703,M3.9,,,1.803,,,-8.224,4.996,-8.342,0.085,4.963,0.094
Gaia,DR3,5603079820284081792,108.6861467,-33.6592551,20.163,2.703,3.148,1.2613,12.2076,19.45,,,2.577,M3.5,,,0.982,,,-7.542,5.025,-6.531,0.422,6.405,0.554
Gaia,DR3,5592839686245415296,110.8134914,-32.3275061,19.577,2.824,1.156,1.6833,12.3874,19.21,,,2.601,M3.7,,,0.995,,,-8.04,4.667,-8.046,0.25,5.301,0.326
Gaia,DR3,5592540245416913664,111.9918677,-32.8250356,17.897,2.784,0.126,1.8755,12.4192,18.88,,,2.635,M3.7,,,1.022,,,-8.383,4.73,-8.449,0.082,4.706,0.099
Gaia,DR3,5604791862973284480,110.0902255,-32.0321736,16.28,2.306,0.225,1.8914,12.6923,19.41,,,2.653,M2.3,,,0.99,,,-8.054,4.76,-7.988,0.039,4.867,0.042
Gaia,DR3,5592861749497777664,110.5850428,-32.0637029,16.244,2.251,0.131,1.8909,12.7616,19.3,,,2.621,M2.0,,,0.996,,,-8.057,4.672,-8.026,0.034,4.737,0.039
Gaia,DR3,5592674523280213504,110.9856586,-32.7495535,18.589,3.068,0.385,1.3562,12.8799,19.11,,,2.575,M4.3,,,1.06,,,-7.994,4.684,-7.803,0.156,4.769,0.191
Gaia,DR3,5592609716515072512,111.6694952,-32.5059392,18.899,3.327,1.122,1.8918,12.9869,18.99,,,2.614,M4.9,,,1.012,,,-8.253,4.659,-8.695,0.162,4.227,0.208
Gaia,DR3,5592859374373281792,110.6528893,-32.0073658,19.603,2.673,0.694,1.9573,13.0379,19.29,,,2.648,M3.4,,,1.015,,,-8.156,4.705,-8.392,0.288,4.399,0.311
Gaia,DR3,5590041399089194240,110.5324876,-35.0638686,20.266,2.782,2.55,1.1799,13.0536,18.84,,,2.566,M3.7,,,1.041,,,-7.879,5.119,-9.258,0.461,5.155,0.572
Gaia,DR3,5604781177094910080,110.2549276,-32.0029185,19.749,2.718,2.235,1.9207,13.7816,19.38,,,2.676,M3.5,,,1.013,,,-8.157,4.783,-7.078,0.369,5.433,0.381
Gaia,DR3,5603471383866875776,108.300534,-32.5093618,17.36,2.78,0.339,2.1079,14.0394,19.71,,,2.627,M3.7,,,1.006,,,-7.61,4.935,-7.75,0.063,5.06,0.076
Gaia,DR3,5592841404232051712,110.8556098,-32.2308565,19.222,2.976,0.705,1.7862,14.5781,19.21,,,2.58,M4.1,,,1.045,,,-7.984,4.609,-8.191,0.23,4.287,0.279
Gaia,DR3,5592845703499906560,110.761141,-32.1569906,16.521,2.438,0.215,1.8335,14.5789,19.24,,,2.583,M2.8,,,1.09,,,-7.975,4.608,-8.08,0.046,4.555,0.058
Gaia,DR3,5604893189842644992,110.207056,-31.7329156,16.682,2.469,0.256,2.1896,14.5887,19.43,,,2.65,M2.9,,,1.0,,,-8.07,4.69,-8.026,0.04,4.826,0.046
Gaia,DR3,5592828283111691648,111.2699706,-31.9579052,17.105,2.729,0.267,2.1703,14.7212,19.16,,,2.661,M3.6,,,1.088,,,-8.32,4.671,-8.36,0.056,4.527,0.065
Gaia,DR3,5592863708002601216,110.5822325,-31.9404372,16.458,2.374,0.19,2.0118,14.9175,19.32,,,2.686,M2.6,,,1.063,,,-8.256,4.764,-8.176,0.039,4.693,0.046
Gaia,DR3,5592872774673376896,111.1310043,-32.0525305,19.659,3.056,1.11,2.036,15.1668,19.18,,,2.688,M4.2,,,0.997,,,-8.374,4.747,-8.145,0.327,5.332,0.353
Gaia,DR3,5591749176868993280,112.5675047,-33.3947331,19.072,3.102,1.202,2.0638,15.5737,18.66,,,2.587,M4.4,,,0.948,,,-8.342,4.7,-8.597,0.209,4.096,0.253
Gaia,DR3,5592811030219078144,111.6106365,-32.2552162,19.398,3.138,0.545,2.0579,15.6357,19.04,,,2.693,M4.5,,,1.036,,,-8.489,4.757,-8.222,0.265,4.6,0.32
Gaia,DR3,5592777426394961280,111.2201389,-32.5045071,19.922,3.183,1.315,1.6678,15.6895,19.09,,,2.562,M4.6,,,1.015,,,-8.001,4.6,-8.526,0.319,5.079,0.36
Gaia,DR3,5592867036597008128,110.8616289,-31.8879695,18.904,3.317,0.853,2.1155,15.6895,19.26,,,2.59,M4.9,,,1.091,,,-8.017,4.564,-8.48,0.167,4.611,0.217
Gaia,DR3,5592608071548308864,111.9360071,-32.3344984,10.256,0.257,0.073,2.1696,15.7865,18.96,10.53,2.95,2.594,A7.1,,,0.989,,Gaia_DR3,-8.24,4.571,-8.2,0.015,4.576,0.017
Gaia,DR3,5592886243689939456,111.1871258,-31.7627678,18.314,3.35,0.687,2.3223,15.8878,19.21,,,2.611,M5.0,,,1.078,,,-8.147,4.554,-8.038,0.126,4.916,0.136
Gaia,DR3,5592880235037738496,111.1338295,-31.8034472,16.853,2.577,0.148,2.2681,15.9653,19.22,,,2.601,M3.2,,,1.05,,,-8.106,4.548,-8.177,0.058,4.587,0.059
Gaia,DR3,5604733417057780480,109.7062398,-32.6077197,16.88,2.904,0.159,1.3707,16.1064,19.4,,,2.548,M3.9,,,1.005,,,-7.66,4.704,-7.611,0.05,4.774,0.064
Gaia,DR3,5592851785173579392,110.7778554,-32.1175466,17.185,2.88,0.299,1.8753,16.1403,19.25,,,2.568,M3.9,,,1.013,,,-7.933,4.573,-7.788,0.058,4.501,0.078
Gaia,DR3,5592853434440934016,110.9508252,-32.0322776,16.916,2.867,0.335,2.0002,16.1548,19.22,,,2.575,M3.8,,,1.06,,,-7.989,4.558,-7.996,0.065,4.74,0.079
Gaia,DR3,5604923937503979776,110.6346026,-31.4903019,18.538,3.231,1.145,2.4632,16.3333,19.37,,,2.632,M4.7,,,1.077,,,-8.101,4.58,-7.694,0.141,5.068,0.163
Gaia,DR3,5593208507967732096,111.6213984,-31.811246,18.963,3.205,0.821,2.4375,16.3973,19.11,,,2.619,M4.6,,,1.013,,,-8.257,4.543,-8.596,0.175,4.243,0.206
Gaia,DR3,5604950604968762624,110.260698,-31.4588488,17.271,2.771,1.68,2.4647,16.4628,19.45,,,2.624,M3.6,,,1.921,,,-8.0,4.587,-7.51,0.186,3.798,0.268
Gaia,DR3,5592882983816745984,111.2212642,-31.8018884,16.549,2.361,0.245,2.2968,16.6252,19.2,,,2.593,M2.6,,,0.984,,,-8.096,4.526,-8.209,0.042,4.598,0.044
Gaia,DR3,5592898132159795328,110.9036824,-31.6386308,18.198,3.045,0.48,2.3654,16.7452,19.29,,,2.598,M4.2,,,1.043,,,-8.05,4.529,-7.908,0.126,4.75,0.134
Gaia,DR3,5592887965967383040,111.1811469,-31.6703357,17.679,,1.048,2.4069,16.9841,19.22,,,2.598,,,,0.95,,,-8.107,4.515,-7.977,0.13,5.075,0.336
