Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5590921485126584832,110.1704096,-33.9223278,12.771,0.857,0.0,0.0,0.0,19.1,19.1,2.06,2.637,G5.4,,,0.917,,Gaia_DR3,-8.021,5.078,-8.021,0.01,5.078,0.013,3
Gaia,DR3,5589656088982368768,111.0502421,-36.0676116,15.475,2.33,0.108,2.2631,19.6447,18.56,-0.82,13.54,2.73,M2.4,,,0.997,,Gaia_DR3,-8.49,5.591,-8.551,0.024,5.605,0.029,3
Gaia,DR3,5592608071548308864,111.9360071,-32.3344984,10.256,0.257,0.073,2.1696,15.7865,18.96,10.53,2.95,2.594,A7.1,,,0.989,,Gaia_DR3,-8.24,4.571,-8.2,0.015,4.576,0.017,3
Gaia,DR3,5592407475090407040,111.4958145,-33.3896071,10.022,0.227,0.194,1.2251,8.2909,18.9,12.16,1.67,2.649,A6.9,,,3.402,,Gaia_DR3,-8.328,4.899,-8.239,0.049,4.96,0.054,3
Gaia,DR3,5592872774673376896,111.1310043,-32.0525305,19.659,3.056,1.11,2.036,15.1668,19.18,,,2.688,M4.2,,,0.997,,,-8.374,4.747,-8.145,0.327,5.332,0.353,2
Gaia,DR3,5591771755516466688,112.3585757,-33.0594116,13.173,0.951,0.178,2.0185,21.6541,18.76,16.93,5.26,2.525,G9.0,,,1.084,,Gaia_DR3,-8.101,4.544,-8.195,0.012,4.53,0.014,2
Gaia,DR3,5592863708002601216,110.5822325,-31.9404372,16.458,2.374,0.19,2.0118,14.9175,19.32,,,2.686,M2.6,,,1.063,,,-8.256,4.764,-8.176,0.039,4.693,0.046,2
Gaia,DR3,5605202805442339968,110.1855421,-30.6602086,19.396,3.015,1.133,3.2621,21.6376,19.58,,,2.652,M4.1,,,0.949,,,-8.07,4.49,-7.667,0.273,4.001,0.399,2
Gaia,DR3,5605043612473425664,108.8564972,-31.5266467,18.238,3.215,0.493,2.6383,21.6177,19.74,,,2.553,M4.6,,,1.069,,,-7.508,4.575,-7.74,0.115,4.704,0.135,2
Gaia,DR3,5593207094923704064,111.6399683,-31.8571609,18.71,3.153,0.477,2.4057,21.3941,19.1,,,2.543,M4.5,,,1.026,,,-8.022,4.419,-8.218,0.146,4.583,0.172,2
Gaia,DR3,5590530750481732096,108.4553669,-35.2776085,13.651,1.196,0.892,1.9569,21.2984,19.22,12.59,2.36,2.761,K2.9,,,3.687,,Gaia_DR3,-8.032,5.722,-8.534,0.044,5.59,0.052,2
Gaia,DR3,5591749176868993280,112.5675047,-33.3947331,19.072,3.102,1.202,2.0638,15.5737,18.66,,,2.587,M4.4,,,0.948,,,-8.342,4.7,-8.597,0.209,4.096,0.253,2
Gaia,DR3,5604893189842644992,110.207056,-31.7329156,16.682,2.469,0.256,2.1896,14.5887,19.43,,,2.65,M2.9,,,1.0,,,-8.07,4.69,-8.026,0.04,4.826,0.046,2
Gaia,DR3,5592811030219078144,111.6106365,-32.2552162,19.398,3.138,0.545,2.0579,15.6357,19.04,,,2.693,M4.5,,,1.036,,,-8.489,4.757,-8.222,0.265,4.6,0.32,2
Gaia,DR3,5589619147966665088,110.5222508,-36.5541617,20.293,2.611,2.831,2.6475,20.7391,18.59,,,2.564,M3.3,,,1.024,,,-7.871,5.379,-6.766,0.455,6.439,0.517,2
Gaia,DR3,5592777426394961280,111.2201389,-32.5045071,19.922,3.183,1.315,1.6678,15.6895,19.09,,,2.562,M4.6,,,1.015,,,-8.001,4.6,-8.526,0.319,5.079,0.36,2
